type,exercise_id,video_id,title,path
Exercise,multiplying_expressions_0.5,multiplying_expressions_0.5,Multiply binomials intro,khan/math/algebra-basics/quadratics-polynomials-topic/multiplying-binomials-core-algebra/multiplying_expressions_0.5/
Exercise,multiplying_expressions_1,multiplying_expressions_1,Special products of binomials,khan/math/algebra-basics/quadratics-polynomials-topic/multiplying-binomials-core-algebra/multiplying_expressions_1/
Video,factoring-quadratic-expressions,eF6zYNzlZKQ,More examples of factoring quadratics as (x+a)(x+b),khan/math/algebra-basics/quadratics-polynomials-topic/factoring-quadratic-expressions-core-algebra/factoring-quadratic-expressions/
Video,factoring-polynomials-1,1kfq0aR3ASs,Factoring quadratics as (x+a)(x+b) (example 2),khan/math/algebra-basics/quadratics-polynomials-topic/factoring-quadratic-expressions-core-algebra/factoring-polynomials-1/
Video,factoring-trinomials-with-a-leading-1-coefficient,nOZTe8jU2g4,Introduction to grouping,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-quadratic-expressions-core-algebra/factoring-trinomials-with-a-leading-1-coefficient/
Exercise,factoring_polynomials_1,factoring_polynomials_1,Factor quadratics: leading coefficient = 1,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-quadratic-expressions-core-algebra/factoring_polynomials_1/
Video,factoring-trinomials-with-a-common-factor,GMoqg_s4Dl4,Example 1: Factoring trinomials with a common factor,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-quadratic-expressions-core-algebra/factoring-trinomials-with-a-common-factor/
Exercise,factoring_polynomials_2,factoring_polynomials_2,Factor polynomials: quadratic methods,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-quadratic-expressions-core-algebra/factoring_polynomials_2/
Video,factoring-special-products,BI_jmI4xRus,Factoring special products,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-special-products-core-algebra/factoring-special-products/
Video,factoring-difference-of-squares,tvnOWIoeeaU,Factoring difference of squares: two variables,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-special-products-core-algebra/factoring-difference-of-squares/
Exercise,factoring_difference_of_squares_1,factoring_difference_of_squares_1,Factor special products (basic),khan/math/algebra-basics/quadratics-polynomials-topic/factoring-special-products-core-algebra/factoring_difference_of_squares_1/
Video,u09-l2-t1-we3-factoring-special-products-3,YahJQvY396o,Factoring difference of squares: two variables (example 2),khan/math/algebra-basics/quadratics-polynomials-topic/factoring-special-products-core-algebra/u09-l2-t1-we3-factoring-special-products-3/
Exercise,factoring_difference_of_squares_2,factoring_difference_of_squares_2,Factor differences of squares,khan/math/algebra-basics/quadratics-polynomials-topic/factoring-special-products-core-algebra/factoring_difference_of_squares_2/
Video,factoring-quadratic-expressions,eF6zYNzlZKQ,More examples of factoring quadratics as (x+a)(x+b),khan/math/algebra-basics/quadratics-polynomials-topic/solving-quadratics-factoring/factoring-quadratic-expressions/
Video,example-1-solving-a-quadratic-equation-by-factoring,2ZzuZvz33X0,Solving quadratics by factoring,khan/math/algebra-basics/quadratics-polynomials-topic/solving-quadratics-factoring/example-1-solving-a-quadratic-equation-by-factoring/
Video,example-4-solving-a-quadratic-equation-by-factoring,STcsaKuW-24,Quadratic equations word problem: triangle dimensions,khan/math/algebra-basics/quadratics-polynomials-topic/solving-quadratics-factoring/example-4-solving-a-quadratic-equation-by-factoring/
Exercise,solving_quadratics_by_factoring,solving_quadratics_by_factoring,Solve quadratic equations by factoring: leading coefficient = 1,khan/math/algebra-basics/quadratics-polynomials-topic/solving-quadratics-factoring/solving_quadratics_by_factoring/
Video,example-3-solving-a-quadratic-equation-by-factoring,vl9o9XEfXtw,Quadratic equations word problem: box dimensions,khan/math/algebra-basics/quadratics-polynomials-topic/solving-quadratics-factoring/example-3-solving-a-quadratic-equation-by-factoring/
Exercise,solving_quadratics_by_factoring_2,solving_quadratics_by_factoring_2,Solve quadratic equations by factoring: leading coefficient ≠ 1,khan/math/algebra-basics/quadratics-polynomials-topic/solving-quadratics-factoring/solving_quadratics_by_factoring_2/
Video,addition-and-subtraction-of-polynomials,ZgFXL6SEUiI,More examples of adding & subtracting polynomials,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/addition-and-subtraction-of-polynomials/
Video,terms-coefficients-and-exponents-in-a-polynomial,REiDXCN0lGU,The parts of polynomial expressions,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/terms-coefficients-and-exponents-in-a-polynomial/
Video,simply-a-polynomial,vN0aL-_vIKM,Simplifying polynomials,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/simply-a-polynomial/
Video,adding-polynomials,Oe1PKI_6-38,Example 4: Adding and subtracting polynomials,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/adding-polynomials/
Video,adding-and-subtracting-polynomials-1,ahdKdxsTj8E,Adding polynomials,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/adding-and-subtracting-polynomials-1/
Video,adding-and-subtracting-polynomials-2,ZGl2ExHwdak,Adding and subtracting polynomials,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/adding-and-subtracting-polynomials-2/
Exercise,adding_and_subtracting_polynomials,adding_and_subtracting_polynomials,Add polynomials,khan/math/algebra-basics/quadratics-polynomials-topic/polynomial-basics-core-algebra/adding_and_subtracting_polynomials/
Video,proof-sum-of-measures-of-angles-in-a-triangle-are-180,6s1CI3uuhko,Angles in a triangle sum to 180° proof,khan/math/algebra-basics/core-algebra-geometry/copy-of-triang-prop-tut/proof-sum-of-measures-of-angles-in-a-triangle-are-180/
Video,triangle-angle-example-1,hmj3_zbz2eg,Triangle angle example,khan/math/algebra-basics/core-algebra-geometry/copy-of-triang-prop-tut/triangle-angle-example-1/
Video,triangle-angle-example-2,eTwnt4G5xE4,Triangle angle example 2,khan/math/algebra-basics/core-algebra-geometry/copy-of-triang-prop-tut/triangle-angle-example-2/
Video,triangle-angle-example-3,iqeGTtyzQ1I,Triangle angle example 3,khan/math/algebra-basics/core-algebra-geometry/copy-of-triang-prop-tut/triangle-angle-example-3/
Exercise,triangle_angles_1,triangle_angles_1,Find angles in triangles,khan/math/algebra-basics/core-algebra-geometry/copy-of-triang-prop-tut/triangle_angles_1/
Video,similar-triangle-basics,9ThXDY9Y3oU,Intro to triangle similarity,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similar-triangle-basics/
Video,similarity-postulates,7bO0TmJ6Ba4,Triangle similarity postulates/criteria,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similarity-postulates/
Exercise,similar_triangles_1,similar_triangles_1,Determine similar triangles: AA,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similar_triangles_1/
Video,similar-triangle-example-problems,Ly86lwq_2gc,Determining similar triangles,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similar-triangle-example-problems/
Exercise,similar_triangles_2,similar_triangles_2,Determine similar triangles: SSS,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similar_triangles_2/
Video,similarity-example-problems,R-6CAr_zEEk,Solving similar triangles,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similarity-example-problems/
Exercise,solving_similar_triangles_1,solving_similar_triangles_1,Solve similar triangles (basic),khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/solving_similar_triangles_1/
Video,similarity-example-where-same-side-plays-different-roles,Tal_fgREll0,Solving similar triangles: same side plays different roles,khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/similarity-example-where-same-side-plays-different-roles/
Exercise,solving_similar_triangles_2,solving_similar_triangles_2,Solve similar triangles (advanced),khan/math/algebra-basics/core-algebra-geometry/copy-of-triangle-similarlity/solving_similar_triangles_2/
Video,the-pythagorean-theorem,AA6RfgP-AHU,Intro to the Pythagorean theorem 1,khan/math/algebra-basics/core-algebra-geometry/pyth-theor-core-algebra/the-pythagorean-theorem/
Video,pythagorean-theorem-1,JVrkLIcA2qw,Pythagorean theorem word problem: fishing boat,khan/math/algebra-basics/core-algebra-geometry/pyth-theor-core-algebra/pythagorean-theorem-1/
Video,pythagorean-theorem-2,O64YFlX1_aI,Pythagorean theorem example,khan/math/algebra-basics/core-algebra-geometry/pyth-theor-core-algebra/pythagorean-theorem-2/
Video,pythagorean-theorem-3,T0IOrRETWhI,Pythagorean theorem word problem: carpet,khan/math/algebra-basics/core-algebra-geometry/pyth-theor-core-algebra/pythagorean-theorem-3/
Exercise,pythagorean_theorem_1,pythagorean_theorem_1,Pythagorean theorem,khan/math/algebra-basics/core-algebra-geometry/pyth-theor-core-algebra/pythagorean_theorem_1/
Video,origins-of-algebra,_LDR1_Prveo,Origins of algebra,khan/math/algebra/introduction-to-algebra/overview-hist-alg/origins-of-algebra/
Video,abstract-ness,ZOYRb2sYrL0,Abstract-ness,khan/math/algebra/introduction-to-algebra/overview-hist-alg/abstract-ness/
Video,the-beauty-of-algebra,kpCJyQ2usJ4,The beauty of algebra,khan/math/algebra/introduction-to-algebra/overview-hist-alg/the-beauty-of-algebra/
Video,descartes-and-cartesian-coordinates,N4nrdf0yYfM,Intro to the coordinate plane,khan/math/algebra/introduction-to-algebra/overview-hist-alg/descartes-and-cartesian-coordinates/
Video,why-all-the-letters-in-algebra,Tm98lnrlbMA,Why all the letters in algebra?,khan/math/algebra/introduction-to-algebra/overview-hist-alg/why-all-the-letters-in-algebra/
Video,what-is-a-variable,tHYis-DP0oU,What is a variable?,khan/math/algebra/introduction-to-algebra/alg1-intro-to-variables/what-is-a-variable/
Video,why-aren-t-we-using-the-multiplication-sign,vDaIKB19TvY,Why aren't we using the multiplication sign?,khan/math/algebra/introduction-to-algebra/alg1-intro-to-variables/why-aren-t-we-using-the-multiplication-sign/
Video,variables-and-expressions-1,AJNDeVt9UOo,Evaluating an expression with one variable,khan/math/algebra/introduction-to-algebra/alg1-intro-to-variables/variables-and-expressions-1/
Exercise,evaluating_expressions_1,evaluating_expressions_1,Evaluating expressions with one variable,khan/math/algebra/introduction-to-algebra/alg1-intro-to-variables/evaluating_expressions_1/
Video,evaluating-expressions-in-two-variables,S_OX3ByvBSc,Evaluating expressions with two variables,khan/math/algebra/introduction-to-algebra/alg1-substitution/evaluating-expressions-in-two-variables/
Exercise,evaluating_expressions_2,evaluating_expressions_2,Evaluating expressions with two variables,khan/math/algebra/introduction-to-algebra/alg1-substitution/evaluating_expressions_2/
Video,evaluating-expressions-in-two-variables-with-decimals-and-fractions,GmD7Czmol0k,Evaluating expressions with two variables: fractions & decimals,khan/math/algebra/introduction-to-algebra/alg1-substitution/evaluating-expressions-in-two-variables-with-decimals-and-fractions/
Exercise,evaluating-expressions-in-two-variables-2,evaluating-expressions-in-two-variables-2,Evaluating expressions with two variables: fractions & decimals,khan/math/algebra/introduction-to-algebra/alg1-substitution/evaluating-expressions-in-two-variables-2/
Video,evaluate-a-formula-using-substitution,tC1SfxRvtmM,Evaluating expressions with variables: temperature,khan/math/algebra/introduction-to-algebra/alg1-evaluating-expressions-word-problems/evaluate-a-formula-using-substitution/
Exercise,evaluating-expressions-3,evaluating-expressions-3,Evaluating expressions with variables word problems,khan/math/algebra/introduction-to-algebra/alg1-evaluating-expressions-word-problems/evaluating-expressions-3/
Video,evaluating-expressions-3-exercise,I9eLKDbc8og,Evaluating expressions with variables: cubes,khan/math/algebra/introduction-to-algebra/alg1-evaluating-expressions-word-problems/evaluating-expressions-3-exercise/
Video,evaluating-exponential-expressions,0uCslW40VHQ,Evaluating expressions with variables: exponents,khan/math/algebra/introduction-to-algebra/alg1-evaluating-expressions-word-problems/evaluating-exponential-expressions/
Video,writing-expressions-with-variables-examples,640-86yn2wM,Writing basic expressions with variables,khan/math/algebra/introduction-to-algebra/alg1-writing-expressions/writing-expressions-with-variables-examples/
Exercise,writing-expressions-with-variables-1,writing-expressions-with-variables-1,Writing basic expressions with variables,khan/math/algebra/introduction-to-algebra/alg1-writing-expressions/writing-expressions-with-variables-1/
Video,writing-expressions-1,Q1vMNyIP4Us,Writing expressions with variables,khan/math/algebra/introduction-to-algebra/alg1-writing-expressions/writing-expressions-1/
Exercise,writing_expressions_1,writing_expressions_1,Writing expressions with variables,khan/math/algebra/introduction-to-algebra/alg1-writing-expressions/writing_expressions_1/
Video,writing-expressions-2,xLYVo_k0_us,Writing expressions with variables & parentheses,khan/math/algebra/introduction-to-algebra/alg1-writing-expressions/writing-expressions-2/
Video,equivalent-algebraic-expressions-exercise,rHNY01R2VSQ,Equivalent expressions,khan/math/algebra/introduction-to-algebra/alg1-equivalent-expressions/equivalent-algebraic-expressions-exercise/
Exercise,equivalent-forms-of-expressions-1,equivalent-forms-of-expressions-1,Equivalent expressions,khan/math/algebra/introduction-to-algebra/alg1-equivalent-expressions/equivalent-forms-of-expressions-1/
Video,dependent-and-independent-variables-exercise-example-1,i9j_VUMq5yg,Dependent & independent variables,khan/math/algebra/introduction-to-algebra/alg1-dependent-independent/dependent-and-independent-variables-exercise-example-1/
Video,dependent-and-independent-variables-exercise-example-2,0eWm-LY23W0,Dependent & independent variables: graphing,khan/math/algebra/introduction-to-algebra/alg1-dependent-independent/dependent-and-independent-variables-exercise-example-2/
Video,dependent-and-independent-variables-exercise-example-3,3ACF7L-7Vsg,Dependent & independent variables: equation,khan/math/algebra/introduction-to-algebra/alg1-dependent-independent/dependent-and-independent-variables-exercise-example-3/
Exercise,dependent-and-independent-variables,dependent-and-independent-variables,Dependent & independent variables,khan/math/algebra/introduction-to-algebra/alg1-dependent-independent/dependent-and-independent-variables/
Video,combining-like-terms,CLWpkv6ccpA,Intro to combining like terms,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/combining-like-terms/
Video,combining-like-terms-and-the-distributive-property,3NHSwiv_pSE,Simplifying expressions,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/combining-like-terms-and-the-distributive-property/
Video,combining-like-terms-3,FNnmseBlvaY,Combining like terms challenge problem,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/combining-like-terms-3/
Exercise,combining_like_terms_1,combining_like_terms_1,Combining like terms with negative coefficients,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/combining_like_terms_1/
Exercise,combining_like_terms_2,combining_like_terms_2,Combining like terms with negative coefficients & distribution,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/combining_like_terms_2/
Video,simplifying-expressions-involving-rational-numbers,rtNuo7R3scY,Simplifying expressions with rational numbers,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/simplifying-expressions-involving-rational-numbers/
Exercise,manipulating-linear-expressions-with-rational-coefficients,manipulating-linear-expressions-with-rational-coefficients,Combining like terms with rational coefficients,khan/math/algebra/introduction-to-algebra/alg1-manipulating-expressions/manipulating-linear-expressions-with-rational-coefficients/
Video,interpreting-linear-expressions-example,ao9cx8JlJIU,Interpreting linear expressions: diamonds,khan/math/algebra/introduction-to-algebra/alg1-interpreting-lin-exp/interpreting-linear-expressions-example/
Video,interpreting-linear-expressions-example-2,edVnqL2Z59A,Interpreting linear expressions: flowers,khan/math/algebra/introduction-to-algebra/alg1-interpreting-lin-exp/interpreting-linear-expressions-example-2/
Exercise,interpreting-expressions,interpreting-expressions,Interpreting linear expressions,khan/math/algebra/introduction-to-algebra/alg1-interpreting-lin-exp/interpreting-expressions/
Video,why-dividing-by-zero-is-undefined,SQzjzStU1RQ,Why dividing by zero is undefined,khan/math/algebra/introduction-to-algebra/division-by-zero/why-dividing-by-zero-is-undefined/
Video,why-zero-divided-by-zero-is-undefined-indeterminate,PDReqvXfkBA,The problem with dividing zero by zero,khan/math/algebra/introduction-to-algebra/division-by-zero/why-zero-divided-by-zero-is-undefined-indeterminate/
Video,undefined-and-indeterminate,lHdlHTsXbZg,Undefined & indeterminate expressions,khan/math/algebra/introduction-to-algebra/division-by-zero/undefined-and-indeterminate/
Video,variables-expressions-and-equations,vDqOoI-4Z6M,"Variables, expressions, & equations",khan/math/algebra/one-variable-linear-equations/alg1-intro-equations/variables-expressions-and-equations/
Video,testing-solutions-to-equation,U9OfQd8poTQ,Testing solutions to equations,khan/math/algebra/one-variable-linear-equations/alg1-intro-equations/testing-solutions-to-equation/
Exercise,testing-solutions-of-equations-inequalities,testing-solutions-of-equations-inequalities,Testing solutions to equations,khan/math/algebra/one-variable-linear-equations/alg1-intro-equations/testing-solutions-of-equations-inequalities/
Video,why-we-do-the-same-thing-to-both-sides-simple-equations,5FBDqY41GjU,Same thing to both sides of equations,khan/math/algebra/one-variable-linear-equations/alg1-solving-equations/why-we-do-the-same-thing-to-both-sides-simple-equations/
Video,representing-a-relationship-with-a-simple-equation,XN48Ba9Ncr8,Representing a relationship with an equation,khan/math/algebra/one-variable-linear-equations/alg1-solving-equations/representing-a-relationship-with-a-simple-equation/
Video,one-step-equation-intuition,kbqO0YTUyAY,One-step equations intuition,khan/math/algebra/one-variable-linear-equations/alg1-solving-equations/one-step-equation-intuition/
Video,intuition-why-we-divide-both-sides,Ye13MIPv6n0,Dividing both sides of an equation,khan/math/algebra/one-variable-linear-equations/alg1-solving-equations/intuition-why-we-divide-both-sides/
Video,adding-and-subtracting-the-same-thing-from-both-sides,jWpiMu5LNdg,One-step addition & subtraction equations,khan/math/algebra/one-variable-linear-equations/alg1-one-step-add-sub-equations/adding-and-subtracting-the-same-thing-from-both-sides/
Video,solving-one-step-equations,VidnbCEOGdg,One-step subtraction equations,khan/math/algebra/one-variable-linear-equations/alg1-one-step-add-sub-equations/solving-one-step-equations/
Exercise,one_step_equations,one_step_equations,One-step addition & subtraction equations,khan/math/algebra/one-variable-linear-equations/alg1-one-step-add-sub-equations/one_step_equations/
Video,examples-of-one-step-equations-with-fractions-and-decimals,XD-FDGdWnR8,One-step addition & subtraction equations: fractions & decimals,khan/math/algebra/one-variable-linear-equations/alg1-one-step-add-sub-equations/examples-of-one-step-equations-with-fractions-and-decimals/
Exercise,one-step-add-sub-equations-2,one-step-add-sub-equations-2,One-step addition & subtraction equations: fractions & decimals,khan/math/algebra/one-variable-linear-equations/alg1-one-step-add-sub-equations/one-step-add-sub-equations-2/
Video,simple-equations,9Ek61w1LxSc,One-step division equations,khan/math/algebra/one-variable-linear-equations/alg1-one-step-mult-div-equations/simple-equations/
Video,solving-one-step-equations-2,DqeMQHomwAU,One-step multiplication equations,khan/math/algebra/one-variable-linear-equations/alg1-one-step-mult-div-equations/solving-one-step-equations-2/
Exercise,linear_equations_1,linear_equations_1,One-step multiplication & division equations,khan/math/algebra/one-variable-linear-equations/alg1-one-step-mult-div-equations/linear_equations_1/
Video,one-step-multiplication-and-division-equations-with-fractions,a3acutLstF8,One-step multiplication & division equations: fractions & decimals,khan/math/algebra/one-variable-linear-equations/alg1-one-step-mult-div-equations/one-step-multiplication-and-division-equations-with-fractions/
Exercise,one-step-mult-div-equations-2,one-step-mult-div-equations-2,One-step multiplication & division equations: fractions & decimals,khan/math/algebra/one-variable-linear-equations/alg1-one-step-mult-div-equations/one-step-mult-div-equations-2/
Video,why-we-do-the-same-thing-to-both-sides-two-step-equations,_y_Q3_B2Vh8,Intro to two-step equations,khan/math/algebra/one-variable-linear-equations/alg1-two-steps-equations-intro/why-we-do-the-same-thing-to-both-sides-two-step-equations/
Video,equations-2,XoEn1LfVoTo,Two-step equations intuition,khan/math/algebra/one-variable-linear-equations/alg1-two-steps-equations-intro/equations-2/
Video,solving-equations-1,p5e5mf_G3FI,Two-step equations example,khan/math/algebra/one-variable-linear-equations/alg1-two-steps-equations-intro/solving-equations-1/
Exercise,linear_equations_2,linear_equations_2,Two-step equations,khan/math/algebra/one-variable-linear-equations/alg1-two-steps-equations-intro/linear_equations_2/
Video,basic-linear-equation-word-problem,roHvNNFXr4k,Two-step equation word problem: computers,khan/math/algebra/one-variable-linear-equations/alg1-linear-eq-word-probs/basic-linear-equation-word-problem/
Video,application-problems-with-equation-in-one-variable,iimpwYBiKNg,Two-step equation word problem: garden,khan/math/algebra/one-variable-linear-equations/alg1-linear-eq-word-probs/application-problems-with-equation-in-one-variable/
Video,linear-equation-word-problem-example,xKH1Evwu150,Two-step equation word problem: oranges,khan/math/algebra/one-variable-linear-equations/alg1-linear-eq-word-probs/linear-equation-word-problem-example/
Exercise,linear-equation-world-problems-2,linear-equation-world-problems-2,Two-step equations word problems,khan/math/algebra/one-variable-linear-equations/alg1-linear-eq-word-probs/linear-equation-world-problems-2/
Video,why-we-do-the-same-thing-to-both-sides-multi-step-equations,vkhYFml0w6c,Why we do the same thing to both sides: Variable on both sides,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/why-we-do-the-same-thing-to-both-sides-multi-step-equations/
Video,equations-3,f15zA0PhSek,Intro to equations with variables on both sides,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/equations-3/
Video,solving-equations-2,1c5HY3z4k8M,Equations with variables on both sides: 20-7x=6x-6,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/solving-equations-2/
Exercise,linear_equations_3,linear_equations_3,Equations with variables on both sides,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/linear_equations_3/
Video,solving-equations-with-the-distributive-property-2,PL9UYj2awDc,Equation with variables on both sides: fractions,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/solving-equations-with-the-distributive-property-2/
Exercise,variables-on-both-sides-rational,variables-on-both-sides-rational,Equations with variables on both sides: decimals & fractions,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/variables-on-both-sides-rational/
Video,ex-2-multi-step-equation,Z7C69xP08d8,Equation with the variable in the denominator,khan/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/ex-2-multi-step-equation/
Video,solving-equations-with-the-distributive-property,YZBStgZGyDY,Equations with parentheses,khan/math/algebra/one-variable-linear-equations/alg1-equations-with-parentheses/solving-equations-with-the-distributive-property/
Exercise,multistep_equations_with_distribution,multistep_equations_with_distribution,Equations with parentheses,khan/math/algebra/one-variable-linear-equations/alg1-equations-with-parentheses/multistep_equations_with_distribution/
Exercise,multi-step-equations-rational,multi-step-equations-rational,Equations with parentheses: decimals & fractions,khan/math/algebra/one-variable-linear-equations/alg1-equations-with-parentheses/multi-step-equations-rational/
Video,number-of-solutions-to-linear-equations,qsL_5Y8uWPU,Number of solutions to equations examples,khan/math/algebra/one-variable-linear-equations/alg1-number-of-solutions-to-linear-equations/number-of-solutions-to-linear-equations/
Video,equation-special-cases,zKotuhQWIRg,Number of solutions to equations: 8(3x+10)=28x-14-4x,khan/math/algebra/one-variable-linear-equations/alg1-number-of-solutions-to-linear-equations/equation-special-cases/
Exercise,solutions-to-linear-equations,solutions-to-linear-equations,Number of solutions to equations,khan/math/algebra/one-variable-linear-equations/alg1-number-of-solutions-to-linear-equations/solutions-to-linear-equations/
Video,number-of-solutions-to-linear-equations-ex-2,uQs100shv-A,Creating an equation with no solutions,khan/math/algebra/one-variable-linear-equations/alg1-number-of-solutions-to-linear-equations/number-of-solutions-to-linear-equations-ex-2/
Video,number-of-solutions-to-linear-equations-ex-3,Dq0xFgQB9qo,Creating an equation with infinitely many solutions,khan/math/algebra/one-variable-linear-equations/alg1-number-of-solutions-to-linear-equations/number-of-solutions-to-linear-equations-ex-3/
Exercise,complete-equations-according-to-solutions,complete-equations-according-to-solutions,Number of solutions to equations challenge,khan/math/algebra/one-variable-linear-equations/alg1-number-of-solutions-to-linear-equations/complete-equations-according-to-solutions/
Video,sum-consecutive-integers,8CJ6Qdcoxsc,Sums of consecutive integers,khan/math/algebra/one-variable-linear-equations/alg1-linear-equations-word-problems/sum-consecutive-integers/
Exercise,integer_sums,integer_sums,Sums of consecutive integers,khan/math/algebra/one-variable-linear-equations/alg1-linear-equations-word-problems/integer_sums/
Video,sum-of-consecutive-odd-integers,d8De3xcVmnw,Sum of integers challenge,khan/math/algebra/one-variable-linear-equations/alg1-linear-equations-word-problems/sum-of-consecutive-odd-integers/
Video,mixture-problems-2,OBVGQt1Eeug,Linear equation word problem: saline,khan/math/algebra/one-variable-linear-equations/alg1-linear-equations-word-problems/mixture-problems-2/
Video,mixture-problems-3,JVlfQEhzLMM,Linear equation word problem: sugary drinks,khan/math/algebra/one-variable-linear-equations/alg1-linear-equations-word-problems/mixture-problems-3/
Video,linear-equations-with-unknown-coefficients,adPgapI-h3g,Linear equations with unknown coefficients,khan/math/algebra/one-variable-linear-equations/linear-equations-with-unknown-coefficients/linear-equations-with-unknown-coefficients/
Exercise,solving_for_a_variable,solving_for_a_variable,Linear equations with unknown coefficients,khan/math/algebra/one-variable-linear-equations/linear-equations-with-unknown-coefficients/solving_for_a_variable/
Video,algebra-linear-equations-1,bAerID24QJ0,Linear equations 1,khan/math/algebra/one-variable-linear-equations/old-school-equations/algebra-linear-equations-1/
Video,algebra-linear-equations-2,DopnmxeMt-s,Linear equations 2,khan/math/algebra/one-variable-linear-equations/old-school-equations/algebra-linear-equations-2/
Video,algebra-linear-equations-3,Zn-GbH2S0Dk,Linear equations 3,khan/math/algebra/one-variable-linear-equations/old-school-equations/algebra-linear-equations-3/
Video,algebra-linear-equations-4,9IUEk9fn2Vs,Linear equations 4,khan/math/algebra/one-variable-linear-equations/old-school-equations/algebra-linear-equations-4/
Video,averages,9VZsMY15xeU,Averages,khan/math/algebra/one-variable-linear-equations/old-school-equations/averages/
Video,taking-percentages,_SpE4hQ8D_o,Taking percentages,khan/math/algebra/one-variable-linear-equations/old-school-equations/taking-percentages/
Video,growing-by-a-percentage,X2jVap1YgwI,Growing by a percentage,khan/math/algebra/one-variable-linear-equations/old-school-equations/growing-by-a-percentage/
Video,more-percent-problems,4oeoIOan_h4,More percent problems,khan/math/algebra/one-variable-linear-equations/old-school-equations/more-percent-problems/
Video,solving-for-a-variable,fnuIT7EhAvs,Solving an equation for a variable,khan/math/algebra/one-variable-linear-equations/old-school-equations/solving-for-a-variable/
Video,testing-solutions-to-inequalities,Yh4TXMVq9eg,Testing solutions to inequalities,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/testing-solutions-to-inequalities/
Exercise,testing-solutions-of-inequalities,testing-solutions-of-inequalities,Testing solutions to inequalities,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/testing-solutions-of-inequalities/
Video,plotting-inequalities-on-a-number-line,ilWDSYnTEFs,Plotting inequalities,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/plotting-inequalities-on-a-number-line/
Video,inequalities-on-a-number-line,dTwZ5N126gw,Plotting an inequality example,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/inequalities-on-a-number-line/
Exercise,inequalities_on_a_number_line,inequalities_on_a_number_line,Plotting inequalities,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/inequalities_on_a_number_line/
Video,real-world-situations-with-inequalities,h8kt1knmmrM,Inequalities word problems,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/real-world-situations-with-inequalities/
Exercise,inequalities-in-one-variable-1,inequalities-in-one-variable-1,Inequalities word problems,khan/math/algebra/one-variable-linear-inequalities/alg1-inequalities/inequalities-in-one-variable-1/
Video,inequalities-using-multiplication-and-division,PNXozoJWsWc,One-step inequalities examples,khan/math/algebra/one-variable-linear-inequalities/alg1-one-step-inequalities/inequalities-using-multiplication-and-division/
Video,one-step-inequalities-2,D1cKk48kz-E,One-step inequalities: -5c ≤ 15,khan/math/algebra/one-variable-linear-inequalities/alg1-one-step-inequalities/one-step-inequalities-2/
Exercise,one_step_inequalities,one_step_inequalities,One-step inequalities,khan/math/algebra/one-variable-linear-inequalities/alg1-one-step-inequalities/one_step_inequalities/
Video,inequalities,FZ2APP6-grU,One-step inequality word problem,khan/math/algebra/one-variable-linear-inequalities/alg1-one-step-inequalities/inequalities/
